"","animal","iron","infect","weight","day","txt","logweight"
"1","A01","NoIron","NonInfected",110,122,1,4.70048036579242
"2","A01","NoIron","NonInfected",135,150,1,4.90527477843843
"3","A01","NoIron","NonInfected",150,166,1,5.01063529409626
"4","A01","NoIron","NonInfected",160,179,1,5.07517381523383
"5","A01","NoIron","NonInfected",170,219,1,5.13579843705026
"6","A01","NoIron","NonInfected",175,247,1,5.16478597392351
"7","A01","NoIron","NonInfected",200,276,1,5.29831736654804
"8","A01","NoIron","NonInfected",205,296,1,5.32300997913841
"9","A01","NoIron","NonInfected",225,324,1,5.41610040220442
"10","A01","NoIron","NonInfected",230,354,1,5.4380793089232
"11","A01","NoIron","NonInfected",255,380,1,5.54126354515843
"12","A01","NoIron","NonInfected",285,445,1,5.65248918026865
"13","A01","NoIron","NonInfected",295,478,1,5.68697535633982
"14","A01","NoIron","NonInfected",310,508,1,5.73657229747919
"15","A01","NoIron","NonInfected",335,536,1,5.81413053182507
"16","A01","NoIron","NonInfected",330,569,1,5.79909265446053
"17","A01","NoIron","NonInfected",325,599,1,5.78382518232974
"18","A01","NoIron","NonInfected",345,627,1,5.84354441703136
"19","A01","NoIron","NonInfected",360,655,1,5.88610403145016
"20","A01","NoIron","NonInfected",370,668,1,5.91350300563827
"21","A01","NoIron","NonInfected",395,723,1,5.97888576490112
"22","A01","NoIron","NonInfected",375,751,1,5.92692602597041
"23","A01","NoIron","NonInfected",380,781,1,5.94017125272043
"24","A02","NoIron","NonInfected",130,122,1,4.86753445045558
"25","A02","NoIron","NonInfected",160,150,1,5.07517381523383
"26","A02","NoIron","NonInfected",180,166,1,5.19295685089021
"27","A02","NoIron","NonInfected",185,179,1,5.22035582507832
"28","A02","NoIron","NonInfected",200,219,1,5.29831736654804
"29","A02","NoIron","NonInfected",225,247,1,5.41610040220442
"30","A02","NoIron","NonInfected",240,276,1,5.48063892334199
"31","A02","NoIron","NonInfected",250,296,1,5.52146091786225
"32","A02","NoIron","NonInfected",275,324,1,5.61677109766657
"33","A02","NoIron","NonInfected",280,354,1,5.63478960316925
